ProductId,n_reviews,avg_score,perc_negative,perc_neutral,perc_positive,product_sentiment,tfidf_keywords
B00004RAMY,76,3.763157894736842,0.27631578947368424,0.17105263157894737,0.5526315789473685,positivo,"set, work, run, tunnel, try, catch, set trap, mole trap"
B00004RBDU,64,3.578125,0.28125,0.234375,0.484375,normal,"trap, product, work, catch, flea trap, buy, sticky, house"
B00004RYGX,115,4.3130434782608695,0.08695652173913043,0.2956521739130435,0.6173913043478261,positivo,"movie, beetlejuice, film, good, great, burton, dvd, keaton"
B00004S1C6,49,4.510204081632653,0.061224489795918366,0.1836734693877551,0.7551020408163265,positivo,"food, use, product, bottle, vibrant, food color, buy, drop"
B00005U2FA,35,4.2,0.14285714285714285,0.17142857142857143,0.6857142857142857,positivo,"bottle, air, product, pump, work, great, saver, use"
B000084E6V,46,3.1956521739130435,0.43478260869565216,0.15217391304347827,0.41304347826086957,negativo,"chew, toy, dinosaur, chewer, nylabone, love, tooth, product"
B000084ETV,101,3.633663366336634,0.3069306930693069,0.13861386138613863,0.5544554455445545,positivo,"canidae, formula, change, eat, dog food, bag, feed, year"
B000084F04,51,3.372549019607843,0.35294117647058826,0.23529411764705882,0.4117647058823529,normal,"cat, box, scoop, swheat, swheat scoop, smell, litter box, clump"
B000084F1I,33,3.9696969696969697,0.18181818181818182,0.21212121212121213,0.6060606060606061,positivo,"dog food, diamond, buy, like, good, eat, bag, love"
B00008JOL0,41,4.536585365853658,0.12195121951219512,0.04878048780487805,0.8292682926829268,positivo,"dog, treat, zuke, like, product, love, old, hip"
B0000CEPDP,39,4.128205128205129,0.1282051282051282,0.3076923076923077,0.5641025641025641,positivo,"eat, try, renal, product, vet, diet, like, kidney"
B0000CFN0Y,39,4.076923076923077,0.1282051282051282,0.28205128205128205,0.5897435897435898,positivo,"color, product, dye, use, little, black, food, red"
B0000DGF9V,45,3.8666666666666667,0.2,0.24444444444444444,0.5555555555555556,positivo,"tree, plant, great, order, bonsai, arrive, leaf, good"
B0000DGFA9,44,3.772727272727273,0.20454545454545456,0.3181818181818182,0.4772727272727273,normal,"tree, plant, bonsai, arrive, little, water, look, day"
B0000DGG1U,34,3.8823529411764706,0.20588235294117646,0.20588235294117646,0.5882352941176471,positivo,"tree, bonsai, look, plant, day, order, arrive, come"
B0000DID5R,37,3.918918918918919,0.16216216216216217,0.35135135135135137,0.4864864864864865,normal,"sauce, hot sauce, like, use, eat, taste, heat, stuff"
B0000DJDJZ,55,4.090909090909091,0.18181818181818182,0.14545454545454545,0.6727272727272727,positivo,"taste, free, sugar free, maple, good, carb, product, try"
B0000V8IOE,77,3.6493506493506493,0.2727272727272727,0.23376623376623376,0.4935064935064935,normal,"kona, good, bean, taste, kona coffee, roast, buy, flavor"
B00012182G,125,3.568,0.28,0.264,0.456,normal,"rabbit, fresh, bunny, fresh rabbit, easter, little, like, buy"
B00014IVPQ,56,4.732142857142857,0.017857142857142856,0.16071428571428573,0.8214285714285714,positivo,"oil, coconut, hair, coconut oil, use, skin, product, great"
B00014JNI0,41,4.585365853658536,0.07317073170731707,0.0975609756097561,0.8292682926829268,positivo,"good, organic, product, taste, jar, raw, use, buy"
B00016LA8Y,34,4.147058823529412,0.17647058823529413,0.17647058823529413,0.6470588235294118,positivo,"lobster, recipe, br, base, product, use, seafood, bisque"
B00016LZT8,50,3.86,0.24,0.24,0.52,positivo,"powder, product, taste, use, popcorn, mac, mac cheese, like"
B00017LEXO,41,3.6097560975609757,0.3170731707317073,0.17073170731707318,0.5121951219512195,positivo,"pop, kernel, good, red, buy, hull, great, time"
B0001CVDZI,32,4.8125,0.03125,0.0625,0.90625,positivo,"jerk, chicken, seasoning, good, try, jerk seasoning, walkerswood, stuff"
B0001CXUHW,41,4.2926829268292686,0.14634146341463414,0.12195121951219512,0.7317073170731707,positivo,"bread, great, product, use, work, good, bake, store"
B0001ES9F8,117,4.119658119658119,0.1794871794871795,0.19658119658119658,0.6239316239316239,positivo,"pod, senseo, flavor, cup, good, roast, like, taste"
B0001ES9FI,89,4.202247191011236,0.11235955056179775,0.3258426966292135,0.5617977528089888,positivo,"pod, senseo, good, like, roast, dark, machine, flavor"
B0001M0Z6Q,33,4.454545454545454,0.12121212121212122,0.15151515151515152,0.7272727272727273,positivo,"pepper, peppercorn, buy, good, product, taste, price, bag"
B00020UGN4,33,4.242424242424242,0.12121212121212122,0.21212121212121213,0.6666666666666666,positivo,"good, taste, leonidas, belgium, great, order, box, gift"
B000255OIG,51,4.313725490196078,0.0784313725490196,0.3137254901960784,0.6078431372549019,positivo,"dog, liver, love, piece, product, training, size, price"
B00027CL5S,33,4.515151515151516,0.12121212121212122,0.030303030303030304,0.8484848484848485,positivo,"treat, chicken, love, eat, food, come, time, cat love"
B00028HN5A,67,4.223880597014926,0.11940298507462686,0.23880597014925373,0.6417910447761194,positivo,"catnip, love, stuff, like, product, buy, nip, cat love"
B00028P3CK,58,4.086206896551724,0.1896551724137931,0.1206896551724138,0.6896551724137931,positivo,"stevia, product, sugar, taste, use, good, buy, year"
B0002ARQYQ,77,3.779220779220779,0.19480519480519481,0.33766233766233766,0.4675324675324675,normal,"dog, toy, cube, food, treat, love, hard, great"
B0002DH5MG,35,1.4,0.9142857142857143,0.0,0.08571428571428572,negativo,"dog, pee, post, work, pee post, yard, smell, sniff"
B0002E2GQU,75,3.2933333333333334,0.32,0.32,0.36,normal,"coffee, bean, espresso, lavazza, good, like, taste, crema"
B0002JG0HG,34,4.235294117647059,0.11764705882352941,0.23529411764705882,0.6470588235294118,positivo,"syrup, maple, maple syrup, grade, good, product, flavor, price"
B0002PHEU2,41,4.560975609756097,0.0975609756097561,0.07317073170731707,0.8292682926829268,positivo,"oil, cinnamon, cinnamon oil, hot, toothpick, quality, taste, product"
B0002PHEZC,34,4.735294117647059,0.029411764705882353,0.14705882352941177,0.8235294117647058,positivo,"vanilla, vanilla bean, order, extract, good, buy, vanilla extract, great"
B0002PSOJW,40,4.675,0.075,0.025,0.9,positivo,"hot, hot sauce, flavor, good, food, heat, sriracha, bottle"
B0002R1HVC,35,3.8857142857142857,0.2,0.2857142857142857,0.5142857142857142,positivo,"candy, gift, buy, great, box, idea, christmas, old"
B0002YW26E,51,3.411764705882353,0.35294117647058826,0.21568627450980393,0.43137254901960786,normal,"trap, roach, catch, bug, spider, insect, product, work"
